bill_id,contract_id,month,price
1,1,2023-08,398
2,1,2023-09,398
3,1,2023-10,398
4,1,2023-11,398
5,1,2023-12,398
6,1,2024-01,398
7,2,2021-03,438
8,2,2021-04,438
9,2,2021-05,438
10,2,2021-06,438
11,2,2021-07,438
12,3,2024-06,419
13,3,2024-07,419
14,3,2024-08,419
15,3,2024-09,419
16,3,2024-10,419
17,3,2024-11,419
18,3,2024-12,419
19,4,2024-03,439
20,4,2024-04,439
21,4,2024-05,439
22,4,2024-06,439
23,4,2024-07,439
24,4,2024-08,439
25,4,2024-09,439
26,4,2024-10,439
27,4,2024-11,439
28,4,2024-12,439
29,5,2022-06,493
30,5,2022-07,493
31,5,2022-08,493
32,5,2022-09,493
33,5,2022-10,493
34,5,2022-11,493
35,5,2022-12,493
36,5,2023-01,493
37,5,2023-02,493
38,5,2023-03,493
39,6,2022-02,502
40,6,2022-03,502
41,6,2022-04,502
42,6,2022-05,502
43,6,2022-06,502
44,6,2022-07,502
45,6,2022-08,502
46,6,2022-09,502
47,6,2022-10,502
48,6,2022-11,502
49,6,2022-12,502
50,6,2023-01,502
51,6,2023-02,502
52,6,2023-03,502
53,6,2023-04,502
54,7,2022-08,513
55,7,2022-09,513
56,7,2022-10,513
57,7,2022-11,513
58,7,2022-12,513
59,7,2023-01,513
60,7,2023-02,513
61,7,2023-03,513
62,7,2023-04,513
63,7,2023-05,513
64,7,2023-06,513
65,7,2023-07,513
66,7,2023-08,513
67,7,2023-09,513
68,7,2023-10,513
69,7,2023-11,513
70,7,2023-12,513
71,7,2024-01,513
72,7,2024-02,513
73,8,2024-02,498
74,8,2024-03,498
75,8,2024-04,498
76,8,2024-05,498
77,8,2024-06,498
78,8,2024-07,498
79,9,2020-11,428
80,9,2020-12,428
81,9,2021-01,428
82,9,2021-02,428
83,9,2021-03,428
84,9,2021-04,428
85,9,2021-05,428
86,9,2021-06,428
87,9,2021-07,428
88,10,2021-05,503
89,10,2021-06,503
90,10,2021-07,503
