bill_id,tenant_id,payment_date
1,580,2023-08-07
2,580,2023-09-16
3,580,2023-10-13
4,580,2023-11-13
5,580,2023-12-22
6,580,2024-01-06
7,757,2021-03-16
8,757,2021-04-06
9,757,2021-05-06
10,757,2021-06-18
11,757,2021-07-15
12,203,2024-06-17
13,203,2024-07-07
14,203,2024-08-25
15,203,2024-09-27
16,203,2024-10-21
17,203,2024-11-23
19,705,2024-03-22
20,705,2024-04-23
21,705,2024-05-28
22,705,2024-06-18
23,705,2024-07-30
24,705,2024-08-30
25,705,2024-09-15
26,705,2024-10-24
27,705,2024-12-01
29,408,2022-06-25
30,408,2022-07-28
31,408,2022-08-30
32,408,2022-09-21
33,408,2022-10-11
34,408,2022-11-17
35,408,2022-12-13
36,408,2023-01-25
37,408,2023-02-07
38,408,2023-03-19
39,619,2022-02-25
40,619,2022-03-19
41,619,2022-05-01
42,619,2022-05-26
43,619,2022-06-11
44,619,2022-07-22
45,619,2022-08-16
46,619,2022-09-13
47,619,2022-10-28
48,619,2022-11-30
49,619,2022-12-25
50,619,2023-01-25
51,619,2023-02-08
52,619,2023-03-28
53,619,2023-04-12
54,770,2022-08-09
55,770,2022-09-15
56,770,2022-10-22
57,770,2022-11-09
58,770,2022-12-15
59,770,2023-01-10
60,770,2023-02-28
61,770,2023-03-24
62,770,2023-04-23
63,770,2023-05-15
64,770,2023-06-29
65,770,2023-07-14
66,770,2023-08-25
67,770,2023-09-19
68,770,2023-10-26
69,770,2023-11-06
70,770,2023-12-28
71,770,2024-01-18
72,770,2024-02-19
73,286,2024-02-10
74,286,2024-03-07
75,286,2024-04-26
76,286,2024-05-16
77,286,2024-06-10
78,286,2024-07-10
79,121,2020-11-28
80,121,2020-12-17
81,121,2021-01-13
82,121,2021-02-22
83,121,2021-03-15
84,121,2021-05-01
85,121,2021-05-31
86,121,2021-06-20
87,121,2021-07-22
88,923,2021-05-31
89,923,2021-06-28
90,923,2021-07-08
91,923,2021-08-17
92,923,2021-09-23
93,663,2024-01-11
94,663,2024-02-26
95,663,2024-03-06
96,663,2024-04-16
