request_id,tenant_id,apartment_id,request_date,start_month,duration
6,477,548,2020-09-17,2021-04,13
7,94,116,2023-06-30,2023-07,6
12,295,1143,2024-02-18,2024-09,24
15,128,1902,2020-03-24,2021-01,3
17,821,338,2023-03-03,2024-02,22
27,306,203,2021-02-08,2021-08,4
29,842,2568,2023-06-08,2023-09,20
30,912,472,2020-04-20,2021-02,21
31,167,1064,2022-10-17,2023-09,17
39,546,2347,2022-12-20,2023-09,11
43,123,2839,2021-07-29,2021-11,17
50,113,2978,2020-10-25,2021-09,7
61,534,1290,2022-01-04,2022-05,19
62,549,2872,2023-03-11,2023-10,16
66,435,2822,2022-03-05,2022-10,10
70,550,1821,2021-05-24,2021-10,7
71,26,498,2021-10-03,2022-06,16
74,788,1803,2021-08-12,2022-01,22
75,602,2383,2022-11-09,2023-04,24
78,388,2353,2021-10-30,2022-01,10
88,537,180,2021-06-09,2021-12,18
95,949,1942,2020-03-28,2020-05,6
97,976,716,2021-08-16,2022-03,4
111,137,2996,2020-02-22,2020-03,11
116,169,388,2021-08-12,2021-09,24
117,627,1175,2021-04-13,2021-07,8
128,637,1558,2024-04-07,2024-06,13
132,177,1946,2023-05-29,2024-04,5
133,942,2070,2020-07-21,2021-06,21
140,258,762,2022-05-09,2022-10,9
141,437,1557,2023-09-05,2024-08,19
146,829,509,2023-06-24,2023-11,19
147,234,2715,2022-06-26,2023-02,23
148,422,2165,2021-03-14,2021-05,6
149,244,1223,2022-04-01,2022-06,3
155,185,314,2022-10-15,2023-09,11
158,546,2498,2022-10-30,2023-08,9
159,942,10,2023-11-02,2024-09,13
162,552,2017,2021-10-18,2021-11,23
165,520,2351,2022-09-10,2023-08,18
175,326,2274,2022-05-12,2023-02,14
177,598,464,2020-04-01,2020-11,20
182,912,1233,2022-11-04,2023-03,24
199,524,2298,2022-04-09,2022-09,18
206,376,311,2021-10-10,2022-01,19
210,897,178,2021-12-11,2022-01,5
212,652,2836,2023-01-05,2023-04,23
218,547,2966,2022-10-28,2022-11,22
220,628,2983,2021-10-28,2022-09,19
224,73,121,2020-12-23,2021-07,19
226,538,2946,2023-11-10,2024-06,8
235,493,1236,2024-03-05,2024-09,12
236,912,263,2023-03-29,2024-02,20
239,497,2453,2023-08-25,2024-07,17
243,390,1088,2021-01-17,2021-09,6
244,47,1885,2020-12-13,2021-05,22
259,317,1450,2021-02-13,2022-02,22
263,356,217,2021-05-11,2022-03,8
265,323,1041,2023-09-25,2024-03,9
266,39,1539,2023-06-24,2024-06,17
273,474,86,2024-04-26,2024-10,21
293,863,2201,2021-03-25,2022-01,7
294,447,2119,2020-01-30,2020-02,14
296,414,2713,2020-05-13,2021-03,18
